cell,cpu,dataset,backend,music_pump,flips,render_s,per_loop_fps,overhead_s,median_fps,route
5E3,486DX2-50,2026-08-13-r2-DX250,organya,0,1529,169,14.99,67,14.5,full
5E4,486DX2-50,2026-08-13-r2-DX250,opl3,0,1775,157,17.40,55,17.2,full
5EA,486DX2-50,2026-08-13-r2-DX250,adlib,1,1883,128,18.46,26,NA_pump,full
5P0,486DX2-50,2026-08-13-r2-DX250,,0,1871,127,18.34,25,18.5,full
5P3,486DX2-50,2026-08-13-r2-DX250,organya,0,1524,171,14.94,69,14.1,full
5P4B,486DX2-50,2026-08-13-r2-DX250,opl3,0,1753,159,17.19,57,17.2,full
5P4,486DX2-50,2026-08-13-r2-DX250,opl3,0,1763,160,17.28,58,17.2,full
5P5K,486DX2-50,2026-08-13-r2-DX250,adlib,1,1882,132,18.45,30,NA_pump,full
5P5,486DX2-50,2026-08-13-r2-DX250,adlib,1,1895,129,18.58,27,NA_pump,full
5R3,486DX2-50,2026-08-13-r2-DX250,organya,0,1527,170,14.97,68,14.5,full
5R4B,486DX2-50,2026-08-13-r2-DX250,opl3,0,1764,157,17.29,55,17.2,full
5R4,486DX2-50,2026-08-13-r2-DX250,opl3,0,1757,157,17.23,55,17.2,full
5R5,486DX2-50,2026-08-13-r2-DX250,adlib,1,1896,128,18.59,26,NA_pump,full
5X0,486DX2-50,2026-08-13-r2-DX250,,0,1845,125,18.09,23,18.5,full
5X8,486DX2-50,2026-08-13-r2-DX250,opl3,0,1744,158,17.10,56,16.7,full
5XH1,486DX2-50,2026-08-13-r2-DX250,organya,0,1441,289,14.13,187,8.0,full
5XH2,486DX2-50,2026-08-13-r2-DX250,organya,0,1442,290,14.14,188,8.0,full
6E3,486DX2-66,2026-08-13-r2-DX266,organya,0,2111,154,20.70,52,20.8,full
6E4,486DX2-66,2026-08-13-r2-DX266,opl3,0,2330,146,22.84,44,23.8,full
6EA,486DX2-66,2026-08-13-r2-DX266,adlib,1,2529,123,24.79,21,NA_pump,full
6P0,486DX2-66,2026-08-13-r2-DX266,,0,2498,122,24.49,20,25.6,full
6P3,486DX2-66,2026-08-13-r2-DX266,organya,0,2106,154,20.65,52,21.3,full
6P4B,486DX2-66,2026-08-13-r2-DX266,opl3,0,2338,146,22.92,44,23.8,full
6P4,486DX2-66,2026-08-13-r2-DX266,opl3,0,2333,146,22.87,44,23.8,full
6P5K,486DX2-66,2026-08-13-r2-DX266,adlib,1,2479,125,24.30,23,NA_pump,full
6P5,486DX2-66,2026-08-13-r2-DX266,adlib,1,2531,123,24.81,21,NA_pump,full
6R3,486DX2-66,2026-08-13-r2-DX266,organya,0,2106,151,20.65,49,21.3,full
6R4B,486DX2-66,2026-08-13-r2-DX266,opl3,0,2334,144,22.88,42,23.8,full
6R4,486DX2-66,2026-08-13-r2-DX266,opl3,0,2338,144,22.92,42,23.8,full
6R5,486DX2-66,2026-08-13-r2-DX266,adlib,1,2538,122,24.88,20,NA_pump,full
6X0,486DX2-66,2026-08-13-r2-DX266,,0,2465,124,24.17,22,25.6,full
6X8,486DX2-66,2026-08-13-r2-DX266,opl3,0,2314,144,22.69,42,23.8,full
6XH1,486DX2-66,2026-08-13-r2-DX266,organya,0,1356,203,13.29,101,11.9,full
6XH2,486DX2-66,2026-08-13-r2-DX266,organya,0,1353,205,13.26,103,12.8,full
AE3,Am5x86-133,2026-08-13-r2-Am5x86,organya,0,2903,135,28.46,33,29.4,full
AE4,Am5x86-133,2026-08-13-r2-Am5x86,opl3,0,3154,131,30.92,29,32.3,full
AEA,Am5x86-133,2026-08-13-r2-Am5x86,adlib,1,3340,116,32.75,14,NA_pump,full
AP0,Am5x86-133,2026-08-13-r2-Am5x86,,0,3317,116,32.52,14,34.5,full
AP3,Am5x86-133,2026-08-13-r2-Am5x86,organya,0,2909,135,28.52,33,30.3,full
AP4B,Am5x86-133,2026-08-13-r2-Am5x86,opl3,0,3165,129,31.03,27,32.3,full
AP4,Am5x86-133,2026-08-13-r2-Am5x86,opl3,0,3165,129,31.03,27,31.2,full
AP5K,Am5x86-133,2026-08-13-r2-Am5x86,adlib,1,3254,122,31.90,20,NA_pump,full
AP5,Am5x86-133,2026-08-13-r2-Am5x86,adlib,1,3344,118,32.78,16,NA_pump,full
AR3,Am5x86-133,2026-08-13-r2-Am5x86,organya,0,2878,137,28.22,35,30.3,full
AR4B,Am5x86-133,2026-08-13-r2-Am5x86,opl3,0,3150,129,30.88,27,32.3,full
AR4,Am5x86-133,2026-08-13-r2-Am5x86,opl3,0,3151,130,30.89,28,32.3,full
AR5,Am5x86-133,2026-08-13-r2-Am5x86,adlib,1,3319,118,32.54,16,NA_pump,full
AX0,Am5x86-133,2026-08-13-r2-Am5x86,,0,3325,117,32.60,15,34.5,full
AX8,Am5x86-133,2026-08-13-r2-Am5x86,opl3,0,3154,130,30.92,28,32.3,full
AXH1,Am5x86-133,2026-08-13-r2-Am5x86,organya,0,2076,170,20.35,68,21.3,full
AXH2,Am5x86-133,2026-08-13-r2-Am5x86,organya,0,2065,172,20.25,70,21.3,full
GE3,POD-83,2026-08-13-r2-POD83,organya,0,2899,129,28.42,27,29.4,full
GE4,POD-83,2026-08-13-r2-POD83,opl3,0,3144,124,30.82,22,31.2,full
GEA,POD-83,2026-08-13-r2-POD83,adlib,1,3361,116,32.95,14,NA_pump,full
GP0,POD-83,2026-08-13-r2-POD83,,0,3358,117,32.92,15,34.5,full
GP3,POD-83,2026-08-13-r2-POD83,organya,0,2901,132,28.44,30,29.4,full
GP4B,POD-83,2026-08-13-r2-POD83,opl3,0,3149,125,30.87,23,32.3,full
GP4,POD-83,2026-08-13-r2-POD83,opl3,0,3154,126,30.92,24,32.3,full
GP5K,POD-83,2026-08-13-r2-POD83,adlib,1,3272,121,32.08,19,NA_pump,full
GP5,POD-83,2026-08-13-r2-POD83,adlib,1,3359,118,32.93,16,NA_pump,full
